month_name,2020_가정용_전력사용량,2020_제조업_전력사용량,2020_광업_전력사용량,2020_농림수산업_전력사용량
10월,47901,544388,6153,4903
11월,49155,517790,6122,5827
12월,51872,526254,6745,5274
1월,52958,543681,6487,5798
2월,53410,466949,6201,5416
3월,50511,519585,6553,4808
4월,51961,524006,6294,5177
5월,48146,480784,4329,4898
6월,49132,382504,3328,5060
7월,49994,485573,5187,5053
8월,64734,484761,5793,5933
9월,64175,503145,5567,6082
