월,2020년,2021년,2022년,2023년
1월,6487,6602,6279,5753
2월,6201,6063,5808,5750
3월,6553,6617,6340,5138
4월,6294,6589,6477,4747
5월,4329,6770,6145,5907
6월,3328,6428,6051,5047
7월,5187,9722,5268,5197
8월,5793,6458,4464,5349
9월,5567,6128,5395,4736
10월,6153,6312,5864,5235
11월,6122,6199,6143,5759
12월,6745,6632,6168,6071
