month_name,2022_가정용_전력사용량,2022_제조업_전력사용량,2022_광업_전력사용량,2022_농림수산업_전력사용량
10월,47980,414082,5864,41823
11월,48937,479430,6143,44149
12월,51447,568697,6168,40677
1월,55912,694083,6279,39016
2월,55335,570109,5808,37975
3월,49788,709855,6340,40812
4월,50561,624883,6477,39958
5월,47153,661121,6145,40622
6월,49956,554996,6051,40890
7월,64374,617892,5268,41377
8월,71864,580969,4464,41534
9월,56967,329889,5395,41784
