"월별(1)",2018,2019,2020,2021,2022,2023
"월별(1)",산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",광업,광업,광업,광업,광업,광업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"1월",7017,6842,6487,6602,6279,5753
"2월",6109,5761,6201,6063,5808,5750
"3월",6832,6991,6553,6617,6340,5138
"4월",6791,6691,6294,6589,6477,4747
"5월",6974,6714,4329,6770,6145,5907
"6월",6759,6613,3328,6428,6051,5047
"7월",6630,6639,5187,9722,5268,5197
"8월",6675,6474,5793,6458,4464,5349
"9월",6271,6100,5567,6128,5395,4736
"10월",7045,6252,6153,6312,5864,5235
"11월",7090,5968,6122,6199,6143,5759
"12월",6903,6746,6745,6632,6168,6071
