month_name,2023_가정용_전력사용량,2023_제조업_전력사용량,2023_광업_전력사용량,2023_농림수산업_전력사용량
10월,55518,647864,5235,10088
11월,55100,528331,5759,12468
12월,58949,628421,6071,9746
1월,62933,666813,5753,11008
2월,61297,634621,5750,10933
3월,53296,760124,5138,9085
4월,54939,689594,4747,8919
5월,52974,666732,5907,9002
6월,55265,604357,5047,10451
7월,65459,598494,5197,9981
8월,84598,551039,5349,12676
9월,69464,564118,4736,13417
