"월별(1)",2018,2019,2020,2021,2022,2023
"월별(1)",산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",제조업,제조업,제조업,제조업,제조업,제조업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"1월",793882,778110,543681,606851,694083,666813
"2월",706121,645508,466949,537433,570109,634621
"3월",797585,862817,519585,583313,709855,760124
"4월",776942,785735,524006,632155,624883,689594
"5월",819767,767914,480784,698445,661121,666732
"6월",696429,649487,382504,552502,554996,604357
"7월",728494,719901,485573,566973,617892,598494
"8월",694589,682082,484761,585924,580969,551039
"9월",735246,523979,503145,570291,329889,564118
"10월",779473,568791,544388,624622,414082,647864
"11월",711489,524826,517790,615168,479430,528331
"12월",802493,547878,526254,604241,568697,628421
