월,2020년,2021년,2022년,2023년
1월,52958,57343,55912,62933
2월,53410,54602,55335,61297
3월,50511,48761,49788,53296
4월,51961,49887,50561,54939
5월,48146,47586,47153,52974
6월,49132,48928,49956,55265
7월,49994,55570,64374,65459
8월,64734,72233,71864,84598
9월,64175,55720,56967,69464
10월,47901,49952,47980,55518
11월,49155,50039,48937,55100
12월,51872,98337,51447,58949
