월,2020년,2021년,2022년,2023년
1월,543681,606851,694083,666813
2월,466949,537433,570109,634621
3월,519585,583313,709855,760124
4월,524006,632155,624883,689594
5월,480784,698445,661121,666732
6월,382504,552502,554996,604357
7월,485573,566973,617892,598494
8월,484761,585924,580969,551039
9월,503145,570291,329889,564118
10월,544388,624622,414082,647864
11월,517790,615168,479430,528331
12월,526254,604241,568697,628421
