search_day,rank,singer,title
20250520,1,10CM,너에게 닿기를
20250520,2,RIIZE,Fly Up
20250520,3,제니 (JENNIE),like JENNIE
20250520,4,WOODZ,Drowning
20250520,5,DAY6 (데이식스),Maybe Tomorrow
20250520,6,MEOVV (미야오),HANDS UP
20250520,7,aespa,Whiplash
20250520,8,LE SSERAFIM (르세라핌),HOT
20250520,9,RIIZE,Bag Bad Back
20250520,10,KiiiKiii (키키),I DO ME
20250520,11,TWS (투어스),마음 따라 뛰는 건 멋지지 않아?
20250520,12,황가람,나는 반딧불
20250520,13,G-DRAGON,TOO BAD (feat. Anderson .Paak)
20250520,14,IVE (아이브),REBEL HEART
20250520,15,조째즈,모르시나요(PROD.로코베리)
20250520,16,Lady Gaga(레이디 가가),Die With A Smile
20250520,17,투모로우바이투게더,그날이 오면
20250520,18,FIFTY FIFTY,Pookie
20250520,19,이무진,청춘만화
20250520,20,DAY6 (데이식스),HAPPY
20250520,21,로제(ROSÉ),toxic till the end
20250520,22,로제(ROSÉ),APT.
20250520,23,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
20250520,24,RIIZE,모든 하루의 끝 (The End of the Day)
20250520,25,IVE (아이브),ATTITUDE
20250520,26,BOYNEXTDOOR,오늘만 I LOVE YOU
20250520,27,aespa,Supernova
20250520,28,RIIZE,잉걸 (Ember to Solar)
20250520,29,DAY6 (데이식스),한 페이지가 될 수 있게
20250520,30,도경수(D.O.),영원해
20250520,31,Hearts2Hearts (하츠투하츠),The Chase
20250520,32,제니 (JENNIE),Mantra
20250520,33,DAY6 (데이식스),Welcome to the Show
20250520,34,RESCENE (리센느),LOVE ATTACK
20250520,35,DAY6 (데이식스),끝났지
20250520,36,오반(OVAN),Flower
20250520,37,QWER,고민중독
20250520,38,마크 (MARK),1999
20250520,39,BABYMONSTER,DRIP
20250520,40,로이킴,내게 사랑이 뭐냐고 물어본다면
20250520,41,NewJeans,How Sweet
20250520,42,RIIZE,Odyssey
20250520,43,aespa,UP (KARINA Solo)
20250520,44,QWER,내 이름 맑음
20250520,45,이클립스 (ECLIPSE),소나기
20250520,46,RIIZE,Midnight Mirage
20250520,47,아일릿(ILLIT),Magnetic
20250520,48,이무진,에피소드
20250520,49,DAY6 (데이식스),예뻤어
20250520,50,izna (이즈나),SIGN
20250520,51,TWS (투어스),첫 만남은 계획대로 되지 않아
20250520,52,백현(BAEKHYUN),Elevator
20250520,53,NewJeans,Supernatural
20250520,54,aespa,Armageddon
20250520,55,황가람,미치게 그리워서
20250520,56,Kendrick Lamar(켄드릭 라마),luther
20250520,57,이창섭,천상연
20250520,58,i-dle (아이들),나는 아픈 건 딱 질색이니까
20250520,59,RIIZE,Inside My Love
20250520,60,RIIZE,Show Me Love
20250520,61,NewJeans,Hype Boy
20250520,62,DAY6 (데이식스),Congratulations
20250520,63,재쓰비 (JAESSBEE),너와의 모든 지금
20250520,64,G-DRAGON,TAKE ME
20250520,65,DAY6 (데이식스),녹아내려요
20250520,66,G-DRAGON,PO￦ER
20250520,67,LE SSERAFIM (르세라핌),Come Over
20250520,68,로제(ROSÉ),number one girl
20250520,69,DAY6 (데이식스),Love me or Leave me
20250520,70,제니 (JENNIE),ExtraL (feat. Doechii)
20250520,71,이영지,Small girl (feat. 도경수(D.O.))
20250520,72,IVE (아이브),I AM
20250520,73,KISS OF LIFE,Sticky
20250520,74,NewJeans,Ditto
20250520,75,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
20250520,76,NewJeans,Attention
20250520,77,프로미스나인,Supersonic
20250520,78,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20250520,79,너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
20250520,80,비비(BIBI),밤양갱
20250520,81,i-dle (아이들),Good Thing
20250520,82,아이유(IU),Love wins all
20250520,83,잔나비,주저하는 연인들을 위해
20250520,84,이무진,청혼하지 않을 이유를 못 찾았어
20250520,85,멜로망스(MeloMance),사랑인가 봐
20250520,86,aespa,Live My Life
20250520,87,IVE (아이브),LOVE DIVE
20250520,88,KISS OF LIFE,Igloo
20250520,89,임재현,비의 랩소디
20250520,90,성시경,너의 모든 순간
20250520,91,G-DRAGON,"무제(無題) (Untitled, 2014)"
20250520,92,제니 (JENNIE),Love Hangover (feat. Dominic Fike)
20250520,93,Taylor Swift(테일러 스위프트),Cruel Summer
20250520,94,백현(BAEKHYUN),Chocolate
20250520,95,범진,인사
20250520,96,RIIZE,Another Life
20250520,97,BOYNEXTDOOR,123-78
20250520,98,NewJeans,Bubble Gum
20250520,99,NewJeans,ETA
20250520,100,IVE (아이브),After LIKE
