search_day,rank,singer,title
20260404,1,Hearts2Hearts (하츠투하츠),RUDE!
20260404,2,IVE (아이브),BANG BANG
20260404,3,KiiiKiii (키키),404 (New Era)
20260404,4,한로로,사랑하게 될 거야
20260404,5,방탄소년단,SWIM
20260404,6,WOODZ,Drowning
20260404,7,한로로,0+0
20260404,8,화사 (HWASA),Good Goodbye
20260404,9,도경수(D.O.),Popcorn
20260404,10,IVE (아이브),BLACKHOLE
20260404,11,이찬혁,멸종위기사랑
20260404,12,ITZY (있지),THAT’S A NO NO
20260404,13,YENA (최예나),캐치 캐치
20260404,14,HUNTR/X,Golden
20260404,15,방탄소년단,Body to Body
20260404,16,로제(ROSÉ),toxic till the end
20260404,17,NMIXX,Blue Valentine
20260404,18,10CM,너에게 닿기를
20260404,19,BLACKPINK,뛰어(JUMP)
20260404,20,아일릿(ILLIT),NOT CUTE ANYMORE
20260404,21,카더가든,그대 작은 나의 세상이 되어
20260404,22,임현정,사랑은 봄비처럼... 이별은 겨울비처럼
20260404,23,TWS (투어스),OVERDRIVE
20260404,24,다비치,타임캡슐
20260404,25,BLACKPINK,GO
20260404,26,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
20260404,27,Hearts2Hearts (하츠투하츠),FOCUS
20260404,28,제니 (JENNIE),like JENNIE
20260404,29,박효신,AE
20260404,30,한로로,입춘
20260404,31,LE SSERAFIM (르세라핌),SPAGHETTI (feat. j-hope of BTS)
20260404,32,DAY6 (데이식스),한 페이지가 될 수 있게
20260404,33,aespa,Whiplash
20260404,34,조째즈,모르시나요(PROD.로코베리)
20260404,35,DAY6 (데이식스),HAPPY
20260404,36,TWS (투어스),첫 만남은 계획대로 되지 않아
20260404,37,Kep1er (케플러),KILLA (Face the other me)
20260404,38,로이킴,내게 사랑이 뭐냐고 물어본다면
20260404,39,이무진,청춘만화
20260404,40,IVE (아이브),REBEL HEART
20260404,41,로제(ROSÉ),APT.
20260404,42,Saja Boys,Soda Pop
20260404,43,황가람,나는 반딧불
20260404,44,DAY6 (데이식스),Welcome to the Show
20260404,45,김하온(HAON),"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)"
20260404,46,Hearts2Hearts (하츠투하츠),STYLE
20260404,47,ALLDAY PROJECT,ONE MORE TIME
20260404,48,ALLDAY PROJECT,FAMOUS
20260404,49,IVE (아이브),I AM
20260404,50,QWER,고민중독
20260404,51,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20260404,52,이무진,에피소드
20260404,53,IVE (아이브),XOXZ
20260404,54,이창섭,천상연
20260404,55,원필 (DAY6),사랑병동
20260404,56,로이킴,달리 표현할 수 없어요
20260404,57,멜로망스(MeloMance),사랑인가 봐
20260404,58,Lady Gaga(레이디 가가),Die With A Smile
20260404,59,NewJeans,Hype Boy
20260404,60,잔나비,주저하는 연인들을 위해
20260404,61,NewJeans,Ditto
20260404,62,아일릿(ILLIT),Magnetic
20260404,63,버스커 버스커(Busker Busker),벚꽃 엔딩
20260404,64,KiiiKiii (키키),I DO ME
20260404,65,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
20260404,66,TWS (투어스),다시 만난 오늘
20260404,67,aespa,Supernova
20260404,68,i-dle (아이들),나는 아픈 건 딱 질색이니까
20260404,69,방탄소년단,2.0
20260404,70,DAY6 (데이식스),예뻤어
20260404,71,WOODZ,CINEMA
20260404,72,DAY6 (데이식스),Congratulations
20260404,73,LE SSERAFIM (르세라핌),HOT
20260404,74,박효신,Any Love
20260404,75,BOYNEXTDOOR,오늘만 I LOVE YOU
20260404,76,너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
20260404,77,IVE (아이브),ATTITUDE
20260404,78,박다혜,시작의 아이 ❍
20260404,79,오반(OVAN),Flower
20260404,80,이클립스 (ECLIPSE),소나기
20260404,81,제니 (JENNIE),Mantra
20260404,82,아이유(IU),Love wins all
20260404,83,엔플라잉(N.Flying),Flashback
20260404,84,로제(ROSÉ),number one girl
20260404,85,DAY6 (데이식스),Love me or Leave me
20260404,86,아일릿(ILLIT),빌려온 고양이 (Do the Dance)
20260404,87,김민석 (멜로망스),사랑의 언어 (Love Language)
20260404,88,Disney,"Zoo (From ""Zootopia 2"")"
20260404,89,박효신,Stellar Night
20260404,90,QWER,내 이름 맑음
20260404,91,i-dle (아이들),Mono (Feat. skaiwater)
20260404,92,aespa,Rich Man
20260404,93,G-DRAGON,TOO BAD (feat. Anderson .Paak)
20260404,94,NOWIMYOUNG (나우아임영),KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki)
20260404,95,BLACKPINK,Champion
20260404,96,QWER,눈물참기
20260404,97,프로미스나인,하얀 그리움
20260404,98,아이린 (IRENE),Biggest Fan
20260404,99,박효신,Miracle
20260404,100,한로로,게임 오버 ?
