search_day,rank,singer,title
20260403,1,Hearts2Hearts (하츠투하츠),RUDE!
20260403,2,IVE (아이브),BANG BANG
20260403,3,KiiiKiii (키키),404 (New Era)
20260403,4,방탄소년단,SWIM
20260403,5,한로로,사랑하게 될 거야
20260403,6,WOODZ,Drowning
20260403,7,한로로,0+0
20260403,8,화사 (HWASA),Good Goodbye
20260403,9,IVE (아이브),BLACKHOLE
20260403,10,ITZY (있지),THAT’S A NO NO
20260403,11,이찬혁,멸종위기사랑
20260403,12,방탄소년단,Body to Body
20260403,13,도경수(D.O.),Popcorn
20260403,14,YENA (최예나),캐치 캐치
20260403,15,NMIXX,Blue Valentine
20260403,16,HUNTR/X,Golden
20260403,17,BLACKPINK,뛰어(JUMP)
20260403,18,로제(ROSÉ),toxic till the end
20260403,19,장한음,WANNA
20260403,20,10CM,너에게 닿기를
20260403,21,BLACKPINK,GO
20260403,22,아일릿(ILLIT),NOT CUTE ANYMORE
20260403,23,제니 (JENNIE),like JENNIE
20260403,24,TWS (투어스),OVERDRIVE
20260403,25,카더가든,그대 작은 나의 세상이 되어
20260403,26,Hearts2Hearts (하츠투하츠),FOCUS
20260403,27,다비치,타임캡슐
20260403,28,한로로,입춘
20260403,29,LE SSERAFIM (르세라핌),SPAGHETTI (feat. j-hope of BTS)
20260403,30,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
20260403,31,aespa,Whiplash
20260403,32,박효신,AE
20260403,33,DAY6 (데이식스),한 페이지가 될 수 있게
20260403,34,임현정,사랑은 봄비처럼... 이별은 겨울비처럼
20260403,35,TWS (투어스),첫 만남은 계획대로 되지 않아
20260403,36,ALLDAY PROJECT,ONE MORE TIME
20260403,37,DAY6 (데이식스),HAPPY
20260403,38,조째즈,모르시나요(PROD.로코베리)
20260403,39,IVE (아이브),REBEL HEART
20260403,40,로이킴,내게 사랑이 뭐냐고 물어본다면
20260403,41,ALLDAY PROJECT,FAMOUS
20260403,42,김하온(HAON),"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)"
20260403,43,PLAVE,흥흥흥 (feat. SOLE)
20260403,44,이무진,청춘만화
20260403,45,IVE (아이브),I AM
20260403,46,로제(ROSÉ),APT.
20260403,47,황가람,나는 반딧불
20260403,48,이무진,에피소드
20260403,49,DAY6 (데이식스),Welcome to the Show
20260403,50,Hearts2Hearts (하츠투하츠),STYLE
20260403,51,IVE (아이브),XOXZ
20260403,52,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20260403,53,이창섭,천상연
20260403,54,QWER,고민중독
20260403,55,Saja Boys,Soda Pop
20260403,56,로이킴,달리 표현할 수 없어요
20260403,57,Lady Gaga(레이디 가가),Die With A Smile
20260403,58,NewJeans,Hype Boy
20260403,59,aespa,Supernova
20260403,60,KiiiKiii (키키),I DO ME
20260403,61,멜로망스(MeloMance),사랑인가 봐
20260403,62,잔나비,주저하는 연인들을 위해
20260403,63,TWS (투어스),다시 만난 오늘
20260403,64,NewJeans,Ditto
20260403,65,아일릿(ILLIT),Magnetic
20260403,66,DAY6 (데이식스),예뻤어
20260403,67,이클립스 (ECLIPSE),소나기
20260403,68,DAY6 (데이식스),Congratulations
20260403,69,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
20260403,70,원필 (DAY6),사랑병동
20260403,71,LE SSERAFIM (르세라핌),HOT
20260403,72,제니 (JENNIE),Mantra
20260403,73,너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
20260403,74,박다혜,시작의 아이 ❍
20260403,75,방탄소년단,2.0
20260403,76,WOODZ,CINEMA
20260403,77,BOYNEXTDOOR,오늘만 I LOVE YOU
20260403,78,오반(OVAN),Flower
20260403,79,IVE (아이브),ATTITUDE
20260403,80,i-dle (아이들),나는 아픈 건 딱 질색이니까
20260403,81,DAY6 (데이식스),Love me or Leave me
20260403,82,아이유(IU),Love wins all
20260403,83,한로로,게임 오버 ?
20260403,84,로제(ROSÉ),number one girl
20260403,85,QWER,눈물참기
20260403,86,i-dle (아이들),Mono (Feat. skaiwater)
20260403,87,aespa,Rich Man
20260403,88,엔플라잉(N.Flying),Flashback
20260403,89,아일릿(ILLIT),빌려온 고양이 (Do the Dance)
20260403,90,김민석 (멜로망스),사랑의 언어 (Love Language)
20260403,91,QWER,내 이름 맑음
20260403,92,프로미스나인,하얀 그리움
20260403,93,G-DRAGON,TOO BAD (feat. Anderson .Paak)
20260403,94,방탄소년단,Hooligan
20260403,95,BLACKPINK,Champion
20260403,96,NOWIMYOUNG (나우아임영),KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki)
20260403,97,박효신,Any Love
20260403,98,마크툽(MAKTUB),시작의 아이
20260403,99,Disney,"Zoo (From ""Zootopia 2"")"
20260403,100,다영 (DAYOUNG),body
