"품목별(1)",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"품목별(1)",매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원),매출액 (천원)
"계",1822993077,2125996285,2237398489,2522050463,2950786930,3325388036,4032130137,4169524533,4091862918,4013141069
