영양소,평균
에너지(Kcal),2103.02
단백질(g),80.7
탄수화물(g),287
칼슘(mg),537.93
인(mg),1162.47
철(mg),10.2
나트륨(mg),3695.95
칼륨(mg),2852.46
비타민A(μgRAE),414.02
티아민(mg),1.32
리보플라빈(mg),1.83
나이아신(mg),14.11
비타민C(mg),71.49
엽산(μgDFE),328.25
