영양소,평균
에너지(Kcal),1565.34
단백질(g),59.01
탄수화물(g),225.29
칼슘(mg),458.02
인(mg),908.06
철(mg),8
나트륨(mg),2575.67
칼륨(mg),2347.75
비타민A(μgRAE),363.42
티아민(mg),0.95
리보플라빈(mg),1.38
나이아신(mg),10.22
비타민C(mg),64.6
엽산(μgDFE),270.14
